feature,importance
PaymentRiskScore,0.645443113507139
Contract,0.4221762157378128
OnlineSecurity,0.311229177909013
ContractTenureScore,0.2655735339823674
ChargesRatio,0.2647063085407918
SpendingVolatility,0.2646314119505536
MonthlyCharges,0.2580689430721611
TechSupport,0.2192125453376433
AvgMonthlySpending,0.1668092508512335
MultipleLines,0.15207424392193827
EngagementScore,0.14259615211531507
TotalCharges,0.1288238891530365
tenure,0.09819131644526749
InternetService,0.096537919638589
OnlineBackup,0.07220936468963379
PaymentMethod,0.056177927444109425
SeniorCitizen,0.04992998048982129
gender,0.03821140577128444
TotalServices,0.03694861173798116
ServiceDiversity,0.010965688820309169
